Country,iso3,Region,Category,Indicator,2005,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Asia,Demographics,Population (Total),24860855.00,27032197.00,27708187.00,28397812.00,29105480.00,29824536.00,
Afghanistan,AFG,Asia,Demographics,Population ages 15-64 (% of total),48.65,48.74,48.91,49.23,49.71,50.31,
Afghanistan,AFG,Asia,Demographics,Population density (people per sq. km of land area),38.12,41.45,42.48,43.54,44.62,45.73,
Afghanistan,AFG,Asia,Demographics,Population growth (annual %),3.45,2.56,2.47,2.46,2.46,2.44,
Afghanistan,AFG,Asia,Demographics,Urban population (% of total),21.88,22.70,22.97,23.24,23.55,23.86,
Afghanistan,AFG,Asia,Development,Human Development Index,0.32,0.34,0.36,0.37,0.37,0.37,
Afghanistan,AFG,Asia,Development,"Literacy rate, adult female (% of females ages 15 and above)",,,,,,,
Afghanistan,AFG,Asia,Development,"Literacy rate, adult male (% of males ages 15 and above)",,,,,,,
Afghanistan,AFG,Asia,Development,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Afghanistan,AFG,Asia,Economy,GDP (current US$),6275076016.00,10190534637.00,,15936784436.00,17870159082.00,20496777409.00,
Afghanistan,AFG,Asia,Economy,GDP growth (annual %),11.18,3.61,,8.43,6.11,14.39,
Afghanistan,AFG,Asia,Economy,GDP per capita (current US$),252.41,376.98,,561.20,613.98,687.25,
Afghanistan,AFG,Asia,Finance,Commercial deposit accounts,,,,,,,
Afghanistan,AFG,Asia,Finance,Coop and credit union deposit accounts,,,,,,,
Afghanistan,AFG,Asia,Finance,State_Financial_Institution_deposit_accounts_2010,,,,,,,
Afghanistan,AFG,Asia,Finance,MFI_deposit_accounts_2010,,,,,,,
Afghanistan,AFG,Asia,Finance,Remittances received (US$),,,,,,,
Afghanistan,AFG,Asia,Finance,Number_of_MFIs_2011,,,,,,,
Afghanistan,AFG,Asia,Finance,Number_of_active_MFI_borrowers_2011,,,,,,,
Afghanistan,AFG,Asia,Finance,MFI_Gross_Loan_Portfolio_2011,,,,,,,
Afghanistan,AFG,Asia,Health,External resources for health (% of total expenditure on health),12.33,22.19,,27.76,19.42,21.75,
Afghanistan,AFG,Asia,Health,Health expenditure per capita (current US$),20.99,34.68,,43.28,48.20,51.46,
Afghanistan,AFG,Asia,Health,"Health expenditure, private (% of GDP)",8.37,7.89,,6.85,6.85,6.85,
Afghanistan,AFG,Asia,Health,"Health expenditure, public (% of GDP)",0.84,1.86,,1.81,1.60,1.80,
Afghanistan,AFG,Asia,Health,Out-of-pocket health expenditure (% of private expenditure on health),93.99,93.98,,93.96,93.96,93.96,
Afghanistan,AFG,Asia,Health,"Under-5 mortality rate (per 1,000)",117.70,108.80,,103.70,101.20,98.50,
Afghanistan,AFG,Asia,Health,"Maternal mortality ratio (per 100,000 live births)",730.00,,,500.00,,,
Afghanistan,AFG,Asia,Health,"Life expectancy at birth, female",58.28,59.86,,60.88,61.35,61.81,
Afghanistan,AFG,Asia,Health,"Life expectancy at birth, male",55.90,57.41,,58.38,58.84,59.27,
Afghanistan,AFG,Asia,Health,"Life expectancy at birth, total",57.06,58.61,,59.60,60.07,60.51,
Afghanistan,AFG,Asia,Health,"Physicians (per 1,000 people)",0.20,,,0.19,0.23,,
Afghanistan,AFG,Asia,Index Coverage Indicators,Permanent cropland (% of land area),0.16,0.18,,0.18,0.18,,
Afghanistan,AFG,Asia,Index Coverage Indicators,"Impact of natural disasters, number of deaths",,,,,,,
Afghanistan,AFG,Asia,Index Coverage Indicators,"Impact of natural disasters, population affected",,,,,,,
Afghanistan,AFG,Asia,Microinsurance,Total microinsurance coverage,,,,,,0.00,0.00
Afghanistan,AFG,Asia,Microinsurance,Credit life coverage,,,,,,,
Afghanistan,AFG,Asia,Microinsurance,Life coverage (excluding credit life),,,,,,0.00,0.00
Afghanistan,AFG,Asia,Microinsurance,Life and accident coverage (excluding credit life),,,,,,,
Afghanistan,AFG,Asia,Microinsurance,Health coverage,,,,,,0.00,0.00
Afghanistan,AFG,Asia,Microinsurance,Accident coverage,,,,,,0.00,0.00
Afghanistan,AFG,Asia,Microinsurance,Property coverage,,,,,,0.00,0.00
Afghanistan,AFG,Asia,Microinsurance,Agriculture coverage,,,,,,0.00,0.00
Afghanistan,AFG,Asia,Microinsurance,Total microinsurance coverage ratio,,,,,,0.00,0.00
Afghanistan,AFG,Asia,Microinsurance,Credit life coverage ratio,,,,,,,
Afghanistan,AFG,Asia,Microinsurance,Life coverage ratio (excluding credit life),,,,,,0.00,0.00
Afghanistan,AFG,Asia,Microinsurance,Life and accident coverage ratio (excluding credit life),,,,,,,
Afghanistan,AFG,Asia,Microinsurance,Health coverage ratio,,,,,,0.00,0.00
Afghanistan,AFG,Asia,Microinsurance,Accident coverage ratio,,,,,,0.00,0.00
Afghanistan,AFG,Asia,Microinsurance,Property coverage ratio,,,,,,0.00,0.00
Afghanistan,AFG,Asia,Microinsurance,Agriculture coverage ratio,,,,,,0.00,0.00
Afghanistan,AFG,Asia,Microinsurance,Total Gross Premium (USD),,,,,,,
Afghanistan,AFG,Asia,Microinsurance,Microinsurance Gross Premium (USD),,,,,,0.00,0.00
Afghanistan,AFG,Asia,Poverty,Income share held by lowest 20%,,9.40,,,,,
Afghanistan,AFG,Asia,Poverty,Poverty headcount ratio at $2 a day (PPP) (% of population),,,,,,,
Afghanistan,AFG,Asia,Poverty,Poverty headcount ratio at national poverty line (% of population),,36.00,,,,,
Afghanistan,AFG,Asia,Poverty,Poverty headcount ratio at rural poverty line (% of rural population),,37.50,,,,,
Afghanistan,AFG,Asia,Poverty,Poverty headcount ratio at urban poverty line (% of urban population),,29.00,,,,,
Afghanistan,AFG,Asia,Poverty,GINI index,,27.82,,,,,
Afghanistan,AFG,Asia,Poverty,"Life expectancy at birth, female",58.28,59.86,,60.88,61.35,61.81,
Afghanistan,AFG,Asia,Poverty,"Life expectancy at birth, male",55.90,57.41,,58.38,58.84,59.27,
