Country,iso3,Region,Category,Indicator,2005,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,Asia,Demographics,Population (Total),24860855,27032197,27708187,28397812,29105480,29824536,,,
Afghanistan,AFG,Asia,Demographics,Population ages 15-64 (% of total),48.65,48.74,48.91,49.23,49.71,50.31,,,
Afghanistan,AFG,Asia,Demographics,Population density (people per sq. km of land area),38.12,41.45,42.48,43.54,44.62,45.73,,,
Afghanistan,AFG,Asia,Demographics,Population growth (annual %),3.45,2.56,2.47,2.46,2.46,2.44,,,
Afghanistan,AFG,Asia,Demographics,Urban population (% of total),21.88,22.7,22.97,23.24,23.55,23.86,,,
Afghanistan,AFG,Asia,Development,Human Development Index,0.32,0.34,0.36,0.37,0.37,0.37,,,
Afghanistan,AFG,Asia,Development,"Literacy rate, adult female (% of females ages 15 and above)",,,,,,,,,
Afghanistan,AFG,Asia,Development,"Literacy rate, adult male (% of males ages 15 and above)",,,,,,,,,
Afghanistan,AFG,Asia,Development,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,
Afghanistan,AFG,Asia,Economy,GDP (current US$),6275076016,10190534637,,15936784436,17870159082,20496777409,,,
Afghanistan,AFG,Asia,Economy,GDP growth (annual %),11.18,3.61,,8.43,6.11,14.39,,,
Afghanistan,AFG,Asia,Economy,GDP per capita (current US$),252.41,376.98,,561.2,613.98,687.25,,,
Afghanistan,AFG,Asia,Finance,Commercial deposit accounts,,,,,,,,,
Afghanistan,AFG,Asia,Finance,Coop and credit union deposit accounts,,,,,,,,,
Afghanistan,AFG,Asia,Finance,State_Financial_Institution_deposit_accounts_2010,,,,,,,,,
Afghanistan,AFG,Asia,Finance,MFI_deposit_accounts_2010,,,,,,,,,
Afghanistan,AFG,Asia,Finance,Remittances received (US$),,,,,,,,,
Afghanistan,AFG,Asia,Finance,Number_of_MFIs_2011,,,,,,,,,
Afghanistan,AFG,Asia,Finance,Number_of_active_MFI_borrowers_2011,,,,,,,,,
Afghanistan,AFG,Asia,Finance,MFI_Gross_Loan_Portfolio_2011,,,,,,,,,
Afghanistan,AFG,Asia,Health,External resources for health (% of total expenditure on health),12.33,22.19,,27.76,19.42,21.75,,,
Afghanistan,AFG,Asia,Health,Health expenditure per capita (current US$),20.99,34.68,,43.28,48.2,51.46,,,
Afghanistan,AFG,Asia,Health,"Health expenditure, private (% of GDP)",8.37,7.89,,6.85,6.85,6.85,,,
